load_perc,portal_shares,seconds,portal_cpu_usage,stress_cpu_uasge,job_exec_time
25,1024,1,0,0,
31,1024,3,3.8959302041615356,0,
31,1024,5,4.661745651700723,0,
31,1024,8,4.808471495963897,0,
31,1024,10,5.598531669891584,0,
31,1024,12,5.277631705941666,0,
31,1024,15,7.194537251081798,0,
37,1024,17,7.962431788455529,0,
37,1024,19,8.61763621019684,0,
43,1024,22,9.86440682559462,0,
43,1024,25,9.463791613206457,0,
56,1024,28,9.311324492494167,0,
56,1024,30,8.465570158467052,0,
62,1024,33,7.600006189293531,2.6503870203406676,
62,1024,36,7.600006189293531,2.929126830701305,
68,1024,38,6.669072272137783,4.876656847715021,
68,1024,41,6.669072272137783,5.574152428192091,
81,1024,44,5.743908749806472,6.794969514320931,
81,1024,46,4.544848489340054,5.847687165704407,
87,1024,49,5.0811294876849376,6.548986458270719,
93,1024,52,4.4110809421439265,6.326419399688889,
93,128,55,4.888788703352712,8.614473648883207,
100,128,58,4.396415278612159,10.629857446518725,
100,128,61,4.396415278612159,10.629857446518727,
100,128,64,3.838193603790543,11.215258293431626,
100,128,67,3.838193603790543,11.215258293431624,
106,128,70,3.3311968808112575,11.553433048702082,
106,128,73,3.3311968808112575,10.648525052782576,
106,128,75,2.9335371384543727,12.19515610811232,
112,128,78,2.4795321521599747,12.648612023968612,
112,128,80,2.4795321521599747,12.648612023968612,
112,128,83,2.890107580426588,11.847430568625049,
112,128,85,2.890107580426588,11.847430568625049,
106,128,87,4.301862720597898,9.88743092563472,
106,128,90,4.301862720597898,8.934809914052899,
106,128,92,4.194998408668563,7.7447365267303745,
106,128,95,5.921077287513409,7.121888202668413,
100,128,97,6.681635761606022,4.807526368854448,
100,128,99,7.203322729669632,4.379344490475605,
100,128,102,8.553879495619396,2.18299838588678,
100,128,104,8.733119463673338,1.9400279658662472,
100,128,106,8.733119463673338,1.7039850043620242,
93,128,109,9.551346177329934,0,
93,128,111,9.551346177329934,0,
100,128,114,9.364471738813902,0,
100,128,117,7.166344686749999,0,
106,128,120,7.692038629047561,0,
106,128,123,6.455129734211891,0,
106,128,125,6.244545157976747,0,
112,128,128,4.760062315161099,0,
112,128,131,4.760062315161099,0,
118,128,133,3.5773502498160274,0,
118,128,136,3.5773502498160274,0,
125,128,139,2.479178491737111,0,
125,128,142,2.4583510852758352,0,
125,128,145,2.468569524958233,4.606721615408841,
131,128,148,2.1347351709313056,4.1104156370666685,
131,128,151,2.407541017137254,7.249250920040336,
131,128,154,2.3464934691016017,8.346143598161404,
131,128,157,2.069560309878231,9.635130696227526,
137,128,160,2.3869522409385118,10.819121227515888,
137,128,163,2.1177489666362304,10.948423855872631,
137,128,166,2.4562990833265577,12.17439365132491,
143,128,169,2.477950929900545,12.084252715722975,
143,128,171,2.0087833965,10.59852031356733,
143,128,173,3.1049658502712485,11.76466475175137,
143,128,176,3.1049658502712485,10.614590341169327,
137,128,178,4.343922267699717,8.856253363398174,
137,128,180,4.343922267699717,8.856253363398174,
131,128,183,5.7311415898233395,6.9965287249118004,
131,128,185,5.7311415898233395,6.373658939666173,
125,128,187,7.177047971133611,4.4378705749544975,
125,128,190,7.177047971133611,4.4378705749544975,1:199
125,128,192,8.106154418189647,2.0877063334180215,1:199
125,128,194,8.226978801894331,1.8921109352809544,1:199
118,128,197,9.299298269259424,0,1:199
