load_perc,portal_shares,seconds,portal_cpu_usage,stress_cpu_uasge,job_exec_time
25,128,0,0,0,
25,128,3,0,0,
31,128,5,3.3994249834980454,0,
31,128,7,4.171433506020215,0,
31,128,10,4.9437736473235345,0,
31,128,12,5.378619569909918,0,
37,128,14,5.03810087615,0,
37,128,17,6.998903531153697,0,
37,128,19,7.777643358507975,0,
37,128,22,8.50588184935111,0,
50,128,24,9.906975918645559,0,
50,128,27,9.049555099408105,0,
56,128,30,8.763316889550298,0,
56,128,32,8.091712903466558,0,
62,128,35,7.793618143265228,0,
62,128,38,7.3601369234793985,3.8627874349129123,
68,128,41,6.176638616955077,5.61104633310534,
68,128,43,6.176638616955077,6.570615587280889,
75,128,46,5.341518922024729,7.431436051987111,
75,128,49,5.341518922024729,8.31320575050966,
87,128,51,5.100155998948917,6.383907477935873,
87,128,54,4.585295250855024,6.170584112266667,
93,128,57,5.122995096533079,8.127448485077391,
100,128,59,5.122995096533079,9.938034066582977,
100,128,62,5.171407520122535,9.939975591195227,
100,128,65,5.173403409947069,8.844131175890999,
100,128,67,5.158959077832932,9.941453351326217,
100,1024,70,4.585934165570563,10.00367069557349,
100,1024,73,5.14604427308456,9.992149887720016,
106,1024,75,5.170912583628386,9.959494645875099,
106,1024,78,5.170912583628386,9.959494645875093,
112,1024,80,5.143631222021584,10.00141525758407,
112,1024,82,5.143631222021584,10.00141525758407,
106,1024,85,4.380231100111527,8.522687772468714,
106,1024,87,5.901187278159811,8.522687772468714,
100,1024,89,6.094521652453622,7.137191915869233,
100,1024,92,6.761772865664993,6.306127130155285,
100,1024,94,6.44966445065546,5.750671621022761,
100,1024,96,7.6851491369425515,4.936539045182246,
100,1024,99,7.6851491369425515,2.322688361624999,
100,1024,101,8.582765618609406,2.416320295635729,
100,1024,103,8.582765618609406,2.16818052397134,
93,1024,106,9.256023688191082,0.7821595814692307,
93,1024,108,9.256023688191082,0,
93,1024,111,9.490370594937223,0,
93,1024,113,9.490370594937223,0,
100,1024,116,8.696935220827907,0,
100,1024,119,8.696935220827907,0,
106,1024,121,7.780115294416243,0,
106,1024,124,7.780115294416243,0,
112,1024,127,6.821930422429835,6.3542995000215186,
112,1024,129,6.239900234981996,6.3542995000215186,
118,1024,132,6.00774341624286,3.4383821927497555,
125,1024,135,5.145809389930371,4.365031185687285,
125,1024,137,5.065992705575119,5.309906706989912,
125,1024,140,4.285125029327977,5.127517130600001,
125,1024,143,4.829763336823529,7.040150456542482,
125,1024,145,4.791470897329118,7.786048871737152,
125,1024,148,4.791470897329117,8.725032780405211,
125,1024,151,4.801465418355857,10.035238443045687,
125,1024,153,4.801465418355857,10.035238443045687,
125,1024,156,4.786898755744964,10.061802331846089,
125,1024,159,4.316569996663837,10.061802331846089,
131,1024,162,4.824892930434421,9.952634734418439,
131,1024,164,3.7279903497916673,9.952634734418435,
131,1024,167,4.795673936373143,10.115860003541542,1:175
137,1024,169,4.258158816004654,10.206317070821264,1:175
137,1024,172,4.703809185541794,10.19466289146901,1:175
131,1024,174,4.651107224308449,10.2612825168034,1:175
131,1024,177,5.572836479799999,9.142185499383684,1:175
131,1024,179,5.572836479799999,7.589016013522538,1:175
131,1024,181,6.366704019252636,6.658436293572085,1:175
131,1024,184,6.71156326611065,6.056676025216158,1:175
125,1024,186,7.241236599119119,4.660210730151588,1:175
125,1024,188,7.18375636108163,4.248449249852813,1:175
118,1024,191,8.432226284911149,2.494029154332008,1:175
118,1024,193,8.432226284911149,2.2147938268109266,1:175
112,1024,196,9.725468609537693,0.36542686120063095,1:175
112,1024,198,9.725468609537693,0.31525285963354366,1:175
112,1024,201,9.88201661355721,0,1:175
112,1024,203,9.88201661355721,0,1:175
118,1024,206,8.983581500830661,0,1:175
118,1024,209,8.828420656727511,0,1:175
125,1024,212,8.041112792190205,0,1:175
125,1024,214,7.486486904768808,0,1:175
131,1024,217,6.971669428582629,0,1:175
137,1024,220,6.349107989303016,0,1:175
137,1024,222,6.094900944747394,0,1:175
143,1024,225,4.438825586511041,0,1:175
143,1024,228,5.012498543603861,0,1:175
143,1024,231,4.736152675364201,0,1:175
143,1024,233,4.736152675364201,0,1:175
143,1024,236,4.736916867347761,2.785577293578828,1:175
143,1024,239,4.736916867347761,3.5677180053717046,1:175
150,1024,241,4.848695994854818,4.418133689750448,1:175
150,1024,244,4.848695994854818,5.181151113888873,1:175
156,1024,247,4.847040545433562,6.112118687974068,1:175
156,1024,249,4.871816676405733,6.936067201905875,1:175
162,1024,252,4.814679585150757,7.861755021847324,1:175
162,1024,255,4.846469978079789,9.217089650398163,1:175
162,1024,258,4.857209456465024,9.309968358418368,1:175
162,1024,260,4.867951619859372,9.550977948420662,1:175
162,1024,262,4.867951619859372,9.550977948420662,1:175
156,1024,265,4.204240671705768,8.4708500081918,1:175
156,1024,267,5.513454606040602,7.942438522734818,1:175
150,1024,269,4.9050632684460425,7.272090978065421,1:175
150,1024,272,6.624386551974341,6.181049175817074,1:175
150,1024,274,6.624386551974341,4.274392756041668,1:175
143,1024,276,7.647700050851552,4.244251694270991,1:175
143,1024,279,7.647700050851552,3.8565347998539057,1:175
137,1024,281,8.434315167816997,2.5093460386409125,1:175
137,1024,283,8.434315167816997,2.229610460542693,1:175
131,1024,286,9.366189487870619,0.5881475596569641,1:175
131,1024,288,9.366189487870619,0.5025849748935725,1:175
125,1024,291,9.540171654625858,0,1:175
125,1024,293,9.540171654625858,0,1:175
125,1024,296,8.708792307511072,1.4827235154839855,1:175
125,1024,299,8.708792307511072,1.7413896803558075,1:175
