load_perc,portal_shares,portal_cpu_usage,stress_cpu_uasge,job_exec_time
18,1024,null,null,
18,1024,null,null,
18,1024,1.044894852230276,0,
18,1024,1.3008124383431667,0,
25,1024,1.5410350666127215,0,
25,1024,1.7934897451388112,0,
25,1024,1.6176429729583335,0,
25,1024,2.3138881504780784,0,
25,1024,2.570163245141185,0,
25,1024,2.8082783111524825,0,
25,1024,3.0669685302487983,0,
31,1024,3.326511780892548,0,
31,1024,3.584920930026657,0,
31,1024,3.8319897911150713,0,
31,1024,4.083981147614329,0,
31,1024,4.313347292801731,0,
31,1024,4.565260944362626,0,
31,1024,4.404305560947618,0,
31,1024,5.069504063363585,0,
31,1024,4.960657389116666,0,
31,1024,5.55187199638535,0,
31,1024,5.801142652259827,0,
31,1024,6.0100952789917415,0,
31,1024,6.583087187819555,0,
43,1024,6.366846321272972,0.5467438843880298,
43,1024,6.3348813112153195,0.5782753115009412,
50,1024,6.112154628406304,1.8888882317805884,
50,1024,6.049415975383652,2.0922658987740057,
62,1024,5.8506671519337,2.7811918250185728,
75,1024,5.536572915086724,3.6145989633981497,
75,1024,5.536572915086726,3.8744637622386335,
81,1024,5.309482874725472,4.474966246765545,
81,1024,4.813868666201068,4.8401764395255,
87,1024,5.017462192286661,5.469502429858197,
87,1024,5.017462192286661,5.638447440625994,
93,1024,4.8285670494185515,6.44118093089588,
93,1024,4.675712373844043,6.628907382086451,
100,1024,4.567794883236452,7.5254240217063435,
100,1024,4.13656822234025,7.9813170649991605,
106,1024,4.284771299357192,8.51284784232092,
106,1024,3.8380878018394418,8.949917846992657,
106,1024,4.061181318701368,9.434996683737552,
112,1024,3.7829565773933616,9.179729954650279,
112,1024,3.772196623788191,10.424186806101655,
118,1024,3.7522957428387103,10.852725734599485,
118,1024,3.7522957428387103,10.93484917598948,1:122
118,1024,3.7582682943046644,10.89128935324872,1:122
118,1024,3.7582682943046644,10.89128935324872,1:122
118,1024,3.753340875388548,10.911440842371881,1:122
118,1024,3.753340875388548,10.911440842371881,1:122
125,1024,3.7979402367380715,10.909165775516527,1:122
125,1024,3.7979402367380715,10.909165775516527,1:122
125,1024,3.804113118546263,10.915905561528906,1:122
125,1024,3.787241948543632,10.922688027451366,1:122
125,1024,3.8155889481927048,10.916471161439047,1:122
125,1024,3.8155889481927048,10.249361548010043,1:122
131,1024,3.8005128936336257,10.969146543553693,1:122
131,1024,3.6082191173460556,10.354055052556204,1:122
137,1024,3.8405354654717705,10.949106785666704,1:122
137,1024,3.8975429663897776,10.925441078587431,1:122
137,1024,3.8975429663897776,10.925441078587431,1:122
137,1024,3.8589982127033693,10.990574696521305,1:122
137,1024,3.8589982127033697,10.97013555643835,1:122
143,1024,3.8934031685033137,10.959185551766602,1:122
143,1024,3.8934031685033137,10.959185551766602,1:122
150,1024,3.9021957433448082,10.976234790923103,1:122
150,1024,3.916856953554031,10.315789754355626,1:122
150,1024,3.947597571386749,10.997532230795642,1:122
150,1024,3.752601075734168,10.98229585843208,1:122
143,1024,4.102117348789105,10.351278066025754,1:122
143,1024,3.8568829583605857,9.693675691768197,1:122
137,1024,4.370698562700025,9.245890631875955,1:122
137,1024,4.370698562700025,8.873150281447955,1:122
131,1024,4.658670800452233,8.434958790562835,1:122
131,1024,4.658670800452233,7.976397368010125,1:122
125,1024,4.841456096510681,7.476645662168832,1:122
125,1024,4.841456096510683,7.165672313629448,1:122
118,1024,5.080783863449111,6.516360075283033,1:122
118,1024,5.080783863449111,6.219105846255566,1:122
118,1024,4.891433641211054,5.6240519990929965,1:122
112,1024,5.3310250156989705,5.244260651539973,1:122
112,1024,4.99350247506487,4.443574904382262,1:122
112,1024,5.529013307427097,4.256731609096267,1:122
112,1024,5.4225742407294355,4.068059776222953,1:122
106,1024,5.811694374174385,3.2824827211435004,1:122
106,1024,5.811694374174385,3.1212293271150915,1:122
100,1024,6.050688044511103,2.344739850302658,1:122
100,1024,6.050688044511104,2.2176408332410493,1:122
93,1024,6.276276151893178,1.4500908023631476,1:122
93,1024,6.276276151893178,1.362995382466591,1:122
93,1024,6.105937208750517,0.23560517609717446,1:122
93,1024,6.435267944107611,0.20882774195034717,1:122
93,1024,6.508301107021104,0,1:122
87,1024,6.502938288406745,0,2:119
87,1024,6.491139745012617,0,2:119
87,1024,6.495500699601579,0,2:119
87,1024,6.495500699601579,0,2:119
81,1024,6.500338366983613,0,2:119
81,1024,6.500338366983613,0,2:119
81,1024,6.4979291746980365,0,2:119
81,1024,6.4979291746980365,0,2:119
81,1024,6.124339997200837,0,2:119
75,1024,6.523391400421384,0,2:119
75,1024,6.520523639732472,0,2:119
75,1024,6.535746112429308,0,2:119
75,1024,6.5557529113171125,0,2:119
75,1024,6.571394042109405,0,2:119
75,1024,6.571394042109405,0,2:119
75,1024,6.593175968128849,0,2:119
75,1024,6.593175968128849,0,2:119
68,1024,6.581055731605671,0,2:119
68,1024,6.581055731605671,0,2:119
68,1024,6.585071551032373,0,2:119
68,1024,6.585071551032373,0,2:119
68,1024,6.243540626144251,0,2:119
68,1024,6.606703364932094,0,2:119
68,1024,6.277976601295577,0,2:119
68,1024,6.612408662128918,0,2:119
68,1024,6.612408662128918,0,2:119
62,1024,6.581403689875944,0,2:119
62,1024,6.581403689875944,0,2:119
75,1024,6.434547013384884,0,2:119
75,1024,6.0962897014108,0,2:119
81,1024,6.147814252592512,0,2:119
81,1024,5.768860374429235,0,2:119
87,1024,5.874033376594231,0,2:119
87,1024,5.7975329424762885,0,2:119
93,1024,5.594139420061739,3.8238635636071425,2:119
93,1024,5.468530169991016,4.096657028983567,2:119
100,1024,5.3323402294837585,5.340661615725206,2:119
106,1024,4.903665774786706,5.9080465552866706,2:119
106,1024,5.092072660756481,5.9080465552866706,2:119
106,1024,4.862586273372569,7.911864021399229,2:119
106,1024,4.862586273372569,7.911864021399229,2:119
112,1024,4.608491223722714,8.22221578687404,2:119
112,1024,4.608491223722714,8.22221578687404,2:119
