load_perc,portal_shares,portal_cpu_usage,stress_cpu_uasge,job_exec_time
12,1024,null,null,
25,1024,null,null,
25,1024,null,null,
25,1024,1.7042135563751923,0,
25,1024,1.4357771723999997,0,
31,1024,2.5121464265258617,0,
31,1024,2.3236403943250004,0,
31,1024,3.3147386021488616,0,
31,1024,3.7002734122334773,0,
43,1024,4.092291933534295,0,
43,1024,4.547057091822126,0,
56,1024,4.422423473014453,0.7056367276309753,
56,1024,4.825351967957798,0.7753995095496038,
62,1024,4.892113351463021,1.8867723050390557,
62,1024,4.741276957277778,2.102253965054453,
75,1024,5.318133253824497,2.720088347331165,
75,1024,5.1366248827809535,2.6380333698958336,
87,1024,5.645634450638734,3.5083142461638768,
87,1024,5.769702295997212,4.104889645523748,
93,1024,6.075343795427711,4.375882914034501,
87,1024,6.198843789717914,4.966940628960576,
87,1024,6.4632546862084235,5.229248673333388,
87,1024,7.0945545381462,5.130257843615562,
87,1024,7.0945545381462,5.278080665395448,
87,1024,6.488591567932473,5.100756129355277,
87,1024,7.1403034386280275,5.313822613956988,
87,1024,6.510122931330599,5.061025003586905,
87,1024,7.103793413289938,5.044219537406249,
87,1024,6.436231686478942,5.06154337493375,
81,1024,7.0831936118212875,5.294488046443448,
81,1024,6.793884703203313,5.048472456793241,
81,1024,7.035235353812794,4.587589789024075,
81,1024,7.035235353812794,4.587589789024075,
81,1024,7.465502533372049,4.716685536709102,
81,1024,7.465502533372049,4.3976607187199415,
81,1024,7.866896619633317,3.685807161391351,
81,1024,7.866896619633317,3.5240989409369226,
81,1024,8.245523290078657,2.8946453098611897,
75,1024,8.245523290078655,2.7551893616461345,
75,1024,8.662757070672155,1.9994562187959983,
75,1024,8.75970862130145,1.892789357051611,
75,1024,9.09041471382783,1.0940556484010233,
75,1024,9.145794835058284,1.0290702965239231,
75,1024,9.114736439986686,0,
68,1024,9.634005315386029,0,
68,1024,9.634005315386029,0,
81,1024,9.557018661697516,0,
81,1024,9.514401127026229,0,
87,1024,9.182239400878087,0,
87,1024,8.611974343825482,0,
100,1024,8.705008826285592,0,
100,1024,8.137920382919024,0,
106,1024,8.264748875240452,0,1:138
112,1024,7.845994542438986,0,1:138
112,1024,7.845994542438986,0,1:138
118,1024,7.360673058105596,0,1:138
118,1024,6.693534828305065,null,1:138
112,1024,6.9075881694566865,null,1:138
112,1024,6.9075881694566865,null,1:138
112,1024,6.9258601512224525,null,1:138
112,1024,6.9258601512224525,null,1:138
112,1024,6.915800464817357,6.180135291746407,1:138
112,1024,6.915800464817357,6.180135291746407,1:138
106,1024,6.93737450438375,5.638110796062407,1:138
106,1024,6.93737450438375,5.638110796062407,1:138
106,1024,6.927890106472992,0,1:138
106,1024,6.927890106472992,0,1:138
106,1024,6.335782450319244,0,1:138
100,1024,6.997571416291164,0,1:138
100,1024,6.997571416291164,0,1:138
100,1024,7.364690387470873,0,1:138
100,1024,7.27487749152693,0,1:138
100,1024,7.878981169294171,0,1:138
100,1024,7.878981169294171,0,1:138
100,1024,8.288004766291076,0,1:138
100,1024,8.288004766291076,0,1:138
100,1024,8.698850653779646,0,1:138
100,1024,8.698850653779646,0,1:138
100,1024,9.300681455280001,0,1:138
100,1024,9.300681455280001,0,1:138
100,1024,9.687917069364268,0,1:138
100,1024,9.687917069364268,0,1:138
100,1024,9.190362845028558,0,1:138
106,1024,9.713527819746846,0,1:138
106,1024,9.270640154677873,0,1:138
112,1024,9.270640154677873,0,1:138
118,1024,8.879088023675967,0,1:138
118,1024,8.879088023675967,0,1:138
118,1024,8.38870103162314,0,1:138
118,1024,8.388701031623139,0,1:138
131,1024,7.909758464533667,0,1:138
131,1024,7.337763313078077,0,1:138
137,1024,7.465705647493375,4.550436488838752,1:138
137,1024,6.910353919692111,6.965296290730471,1:138
131,1024,6.910353919692111,6.965296290730471,1:138
131,1024,6.3266490352143885,6.965296290730471,1:138
131,1024,6.885903068155804,6.459195274615419,1:138
131,1024,6.278962465058553,6.459195274615419,1:138
131,1024,6.9173023798731705,6.13048062649107,1:138
131,1024,6.625485089955467,6.13048062649107,1:138
125,1024,6.916959275260767,5.166852292971383,1:138
125,1024,6.602919943844195,0.9023935142499999,1:138
125,1024,6.841142781274958,0.9389773349014625,1:138
125,1024,6.611095538169142,0.8662977736799998,1:138
118,1024,6.919296618980399,0.8422339466333331,1:138
118,1024,6.695616750596838,0.8422339466333331,1:138
118,1024,7.261508383831884,0.8822469642094077,1:138
118,1024,7.261508383831884,0.8250454987428569,1:138
112,1024,7.658133359211541,0.8250454987428569,1:138
112,1024,7.658133359211541,0.8250454987428569,1:138
112,1024,8.127490997254329,0.8030948904595299,2:143
106,1024,8.127490997254329,0.8410947320904931,2:143
106,1024,8.494550740250876,0.8121541628249999,2:143
106,1024,8.494550740250876,0.8121541628249999,2:143
106,1024,8.255198665906118,0.8404208594664146,2:143
106,1024,8.981755964993432,0.8016485297054102,2:143
106,1024,9.487634275217435,0,2:143
100,1024,9.516360055095253,0,2:143
100,1024,9.02488919291688,0,2:143
106,1024,9.546335880737763,0,2:143
106,1024,9.01362886694979,0,2:143
112,1024,9.108329673227429,0,2:143
