load_perc,portal_shares,portal_cpu_usage,stress_cpu_uasge,job_exec_time
18,1024,null,null,
25,1024,null,null,
25,1024,1.1739482366996747,0,
25,1024,1.4300046993956883,0,
25,1024,1.6743849094073664,0,
25,1024,1.9290664857347557,0,
25,1024,2.1841998253904427,0,
25,1024,2.4453086626739133,0,
25,1024,2.705125028959468,0,
25,1024,2.9436169685315545,0,
31,1024,3.20016121118388,0,
31,1024,3.4388804600790834,0,
31,1024,3.691750230040847,0,
31,1024,3.9519470651357755,0,
31,1024,4.209739724570322,0,
31,1024,4.434679780039554,0,
31,1024,4.689352295625612,0,
31,1024,4.938560111075383,0,
31,1024,5.192985201075141,0,
31,1024,5.449628469714827,0,
31,1024,5.680754544504308,0,
37,1024,5.599440620475926,0,
37,1024,6.1569706824837835,0,
43,1024,6.589602937987671,0,
43,1024,6.43717018774197,0,
56,1024,6.014363292968887,0,
56,1024,6.156609533267872,0,
62,1024,5.7014677786241394,0,
62,1024,5.850295786530016,0,
75,1024,5.39255177614141,2.5950931887206137,
75,1024,5.5268532202907945,2.7363802206435173,
81,1024,5.29027907296816,3.559246684950228,
87,1024,5.29027907296816,3.843040550313292,
87,1024,5.041449230600652,4.5678383365139466,
93,1024,5.041449230600652,4.8687126300350405,
93,128,4.782892000018048,5.44427417714861,
100,128,4.643309772028136,5.6750446256971365,
100,128,4.438039635526411,6.677797454639594,
106,128,3.964193941534498,7.1893601353941285,
106,128,4.0209484836721225,7.83046881202741,
112,128,3.6287302898948983,8.483243932335053,
118,128,3.6287302898948983,8.997186472408059,
118,128,3.216943508962845,7.515130064141558,
118,128,3.2169435089628453,7.427474495942857,
118,128,3.049820135015391,8.678713153606388,
125,128,2.973844807597222,8.65664229721875,
125,128,2.9151885497604257,9.827913449204805,
131,128,2.799751200434901,10.488160304640829,
131,128,2.799751200434901,11.035112795224148,
131,128,2.6461165561389928,11.946649500254862,
137,128,2.6461165561389928,11.946649500254862,
137,128,2.5290333463364743,12.093256813801897,
137,128,2.4055297360148966,12.256135806454846,
