load_perc,portal_shares,seconds,portal_cpu_usage,stress_cpu_uasge,job_exec_time
25,1024,0,0,0,
25,1024,2,2.8793516895767115,0,
25,1024,5,3.6324161391725296,0,
25,1024,7,3.0799725099166664,0,
31,1024,9,5.245024971316782,0,
31,1024,12,6.002536546710227,0,
31,1024,14,6.732773232594551,0,
31,1024,16,7.5135393404118345,0,
37,1024,19,8.293883650165052,0,
37,1024,21,9.84609647503334,0,
50,1024,24,9.452382361624938,0.3178822507019545,
50,1024,27,9.369857134551495,0.36578586915376543,
56,1024,29,8.454765153920432,2.957015637802091,
56,1024,32,8.06584174532467,3.542629792783999,
62,1024,35,7.4286318979024815,4.672878982119749,
62,1024,37,6.886592422188056,4.9300848102449235,
68,1024,40,6.524974548557367,6.592321040634687,
68,1024,43,4.974988748168428,6.364648672322223,
81,1024,45,5.45521891349158,8.652388745452532,
81,1024,48,4.934064845490105,9.476800280174107,
87,1024,50,4.934064845490105,10.017328374344597,
87,1024,53,4.979150600229186,9.912575503448839,
93,1024,56,4.979150600229187,9.912575503448839,
100,1024,58,4.968925616712483,9.875947072234135,
100,1024,61,4.968925616712483,9.85588369203294,
106,1024,64,4.95167895469373,9.85880964443255,
106,1024,67,5.027869819373023,9.759661065905917,
112,1024,70,5.043519513499105,9.718913192543454,
112,1024,72,5.025829906817388,8.60187891591224,
118,1024,75,5.035880629060263,9.690004789678635,
118,1024,78,4.987087524098135,9.835583368615525,
125,1024,80,4.987087524098135,9.835583368615525,
125,1024,83,5.248027013846347,8.83025971217182,
118,1024,85,5.248027013846348,8.83025971217182,
118,1024,87,6.3345738625972565,7.584594037038707,
112,1024,90,6.3345738625972565,6.76232291550322,
112,1024,92,5.299251582208334,6.174516877632717,
112,1024,94,7.3366426353092775,5.034627765098778,
112,1024,97,6.612662740056958,3.0066110855416674,
106,1024,99,8.043208214308851,3.122519454996052,
106,1024,101,7.853227296411857,2.7887543074784973,
100,1024,104,8.915301984462666,0.9798213816039034,
100,1024,106,9.472063178689227,0.8492962748906493,
100,1024,108,9.513227409908124,0,
100,1024,111,8.505478688237087,0,
100,1024,114,8.954233759060273,0,
106,1024,116,8.954233759060273,0,
112,1024,119,8.215660876841413,0,
112,1024,121,7.358274507734243,0,
112,1024,124,7.105466635836178,0,
112,1024,126,6.508800341189125,0,
118,1024,129,6.270733666226703,7.27116444897959,
118,1024,132,5.549322860467368,7.27116444897959,
118,1024,134,5.440160905671688,3.3406462854570287,
118,1024,137,3.7435731727083335,2.895783356333333,
118,1024,140,4.85453262769169,5.097684316474396,
118,1024,142,4.85453262769169,4.50109100645,
125,1024,145,4.934242522034029,6.77563735792581,
125,1024,148,4.548000679826767,6.0867232706222225,
131,1024,150,4.996411534289377,8.623399427512997,
131,1024,153,4.930205783973499,10.096484895137834,
131,1024,155,4.930205783973499,10.096484895137834,
131,1024,158,4.933541124301893,10.107957924606199,
137,1024,161,4.933541124301893,10.107957924606199,
137,1024,163,4.829356975780699,10.14161602402379,
137,1024,166,4.829356975780699,10.233337779053766,
137,1024,169,4.778391417747523,10.23128299383428,1:180
137,1024,171,4.778391417747523,9.205871197849218,1:180
131,1024,173,5.0680582534577425,9.728960594880848,1:180
131,1024,176,5.0680582534577425,9.728960594880848,1:180
131,1024,178,5.994401511847555,8.128403492309019,1:180
125,1024,180,5.994401511847555,7.096340100890543,1:180
125,1024,183,6.986504361179362,5.715818337170717,1:180
118,1024,185,6.98650436117936,5.715818337170717,1:180
118,1024,187,7.993841178363508,3.680927516286084,1:180
118,1024,190,7.993841178363508,3.3387295450134817,1:180
118,1024,192,7.804798711423989,1.904118219945203,1:180
112,1024,194,9.043839094751275,1.7096535658504033,1:180
112,1024,197,9.671481874910445,0,1:180
106,1024,199,9.680099857347157,0,1:180
106,1024,202,9.737720378975872,0,1:180
112,1024,204,9.421226333133564,0,1:180
112,1024,207,8.287608920802914,0,1:180
112,1024,210,8.447817697017461,0,1:180
112,1024,212,7.024209794099399,0,1:180
118,1024,215,7.4034281337153764,5.437381892868894,1:180
118,1024,218,5.834926498732404,6.404492459200527,1:180
118,1024,220,6.363028709181534,4.061407978094757,1:180
118,1024,223,5.570655040189412,4.841559182835781,1:180
125,1024,226,5.570655040189412,5.7186946644938965,1:180
125,1024,229,4.975541841929729,6.5579698054987015,1:180
125,1024,231,4.975541841929729,7.477416009021469,1:180
125,1024,234,5.015147946197846,8.495959413620053,1:180
125,1024,237,4.521168954915805,9.94353026303789,1:180
131,1024,239,5.046130649450677,9.964780126414071,1:180
131,1024,242,5.065628218700705,9.999130206833987,1:180
131,1024,245,5.062651152460546,9.984065941258455,1:180
131,1024,247,4.308688799782324,8.818850875723523,1:180
137,1024,250,5.031890627799532,10.024849675437167,1:180
137,1024,253,4.495090352475142,10.007462582665136,1:180
137,1024,255,5.062003447019212,9.92953173601842,1:180
137,1024,258,5.036169857395586,9.915488794322108,1:180
143,1024,260,5.036169857395586,9.915488794322108,1:180
143,1024,262,5.5174908964754215,9.380601042148795,1:180
137,1024,265,5.5174908964754215,9.380601042148795,1:180
137,1024,267,5.599001207618871,7.950437451349586,1:180
131,1024,269,6.263055533739238,7.1666864249191065,1:180
131,1024,272,5.933219288267248,5.68137180313497,1:180
125,1024,274,7.173589254063793,5.06913594674267,1:180
125,1024,276,6.42999890395172,5.06913594674267,1:180
