load_perc, portal_shares, portal_cpu_usage, stress_cpu_uasge
37, 1024, null, null
37, 1024, null, null
37, 1024, 2.037850355863231, 0
37, 1024, 2.4016275070044713, 0
37, 1024, 2.4137910029035403, 0
43, 1024, 2.7720167772152005, 0
43, 1024, 2.5527321396500002, 0
43, 1024, 3.521523943574444, 0
43, 1024, 3.8805602202692566, 0
50, 1024, 4.193811948676026, 0
50, 1024, 4.55405088692506, 0
50, 1024, 4.90829905888106, 0
50, 1024, 5.271768341385262, 0
50, 1024, 5.630797048944842, 0
50, 1024, 5.970711657447599, 0
50, 1024, 5.711065417983334, 0
56, 1024, 6.66966769081493, 0
56, 1024, 7.025664719098356, 0
56, 1024, 7.386351261340415, 0
56, 1024, 7.7483399859474185, 0
56, 1024, 8.117994774950938, 0
56, 1024, 8.478707017766192, 0
56, 1024, 8.264544380425926, 0
68, 1024, 9.163938601926992, 0
68, 1024, 9.809221917036012, 0
75, 1024, 9.441103656209311, 0
75, 1024, 8.80002763120745, 0
75, 1024, 8.925585551073945, 1.1672984572525307
81, 1024, 8.925585551073945, 1.2146432510863676
81, 1024, 8.613564649746657, 2.1359779977289715
87, 1024, 8.613564649746657, 2.3264865272514155
87, 1024, 7.827532134716719, 2.3233002636032762
87, 1024, 8.084326365577958, 3.2005260580652903
87, 1024, 7.530222765026944, 3.2650770935000173
93, 1024, 7.648445108176078, 4.048483077034422
93, 1024, 6.992673314980943, 4.285256254183912
93, 1024, 7.243882689027932, 4.8283848833585035
100, 1024, 7.243882689027932, 5.0825475444451556
100, 1024, 6.827560520506636, 5.58959573231629
106, 1024, 6.827560520506636, 5.906425346124439
